car_title, car_rating, car_price, 
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
2023 Mercedes-Benz EQB 300 Base 4MATIC, 4.7, $48900
2022 Mercedes-Benz EQS 580 Base 4MATIC, 4.6, $75799
2023 Mercedes-Benz AMG GT 53 AMG GT 53, 5.0, $104900
2023 Mercedes-Benz EQB 250 250 4D Sport Utility, 4.7, $49995
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.6, $59546
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.7, $92610
2018 Mercedes-Benz CLA 250 Base 4MATIC, 4.3, $19990
2023 Mercedes-Benz AMG GLE 53 4MATIC, 4.3, $79349
2017 Mercedes-Benz AMG C 63 S, 4.9, $47250
2023 Mercedes-Benz EQS 580 Base 4MATIC, 4.8, $90997
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC, 4.3, $41219
2021 Mercedes-Benz AMG E 53 Base 4MATIC, 4.7, $76577
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $52988
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $50988
2022 Mercedes-Benz AMG GLB 35 Base, 4.6, $49967
2019 Mercedes-Benz CLS 450 Base, 4.0, $43895
2019 Mercedes-Benz G-Class G 550 4MATIC, 4.0, $122900
2020 Mercedes-Benz A-Class A 220, 4.7, $29000
2023 Mercedes-Benz Sprinter 2500 Standard Roof, 4.7, $74988
